__time,/br5/depth_wrt_startup/data
1711614837.919565,-0.023453348
1711614837.968504,-0.012236097
1711614838.020945,-0.012236097
1711614838.070374,-0.002038935
1711614838.118472,-0.002038935
1711614838.170335,0.002039557
1711614838.223638,0.002039557
1711614838.269857,0.016315833
1711614838.319883,0.016315833
1711614838.369794,0.027532462
1711614838.419907,0.027532462
1711614838.470385,0.033651133
1711614838.519150,0.033651133
1711614838.571178,0.053025368
1711614838.620200,0.053025368
1711614838.670181,0.057104481
1711614838.719762,0.057104481
1711614838.770811,0.072400225
1711614838.819126,0.072400225
1711614838.870094,0.085656411
1711614838.922384,0.085656411
1711614838.972703,0.097893130
1711614839.021676,0.097893130
1711614839.072561,0.110129849
1711614839.122492,0.110129849
1711614839.170733,0.125425592
1711614839.219945,0.125425592
1711614839.272019,0.133583197
1711614839.320929,0.133583197
1711614839.369839,0.144800449
1711614839.421795,0.144800449
1711614839.471614,0.154997611
1711614839.520190,0.154997611
1711614839.571640,0.168253175
1711614839.621938,0.168253175
1711614839.672311,0.173351756
1711614839.722486,0.173351756
1711614839.769870,0.185589098
1711614839.822679,0.185589098
1711614839.871886,0.197825194
1711614839.921067,0.197825194
1711614839.969060,0.211082003
1711614840.024873,0.211082003
1711614840.072700,0.216180584
1711614840.124260,0.216180584
1711614840.172420,0.226377746
1711614840.224956,0.226377746
1711614840.271482,0.235554196
1711614840.322651,0.235554196
1711614840.373185,0.243712424
1711614840.426905,0.243712424
1711614840.472974,0.245751358
1711614840.523510,0.245751358
1711614840.571155,0.250849939
1711614840.623582,0.250849939
1711614840.670985,0.263087281
1711614840.724865,0.263087281
1711614840.774535,0.263087281
1711614840.825230,0.263087281
1711614840.872882,0.265126215
1711614840.924242,0.265126215
1711614840.972534,0.273284443
1711614841.024586,0.273284443
1711614841.072978,0.275323378
1711614841.122449,0.275323378
1711614841.170328,0.283481605
1711614841.224697,0.283481605
1711614841.269660,0.290619121
1711614841.319560,0.290619121
1711614841.370827,0.288580186
1711614841.417791,0.288580186
1711614841.470670,0.296737169
1711614841.521856,0.296737169
1711614841.570848,0.296737169
1711614841.619995,0.296737169
1711614841.667415,0.295717702
1711614841.722234,0.295717702
1711614841.770597,0.299796816
1711614841.821162,0.299796816
1711614841.867991,0.301835750
1711614841.919832,0.301835750
1711614841.967578,0.307955043
1711614842.019846,0.307955043
1711614842.070750,0.307955043
1711614842.118794,0.307955043
1711614842.168837,0.316112026
1711614842.220340,0.316112026
1711614842.269195,0.314073092
1711614842.318856,0.314073092
1711614842.371199,0.321210607
1711614842.422652,0.321210607
1711614842.469260,0.325289721
1711614842.519052,0.325289721
1711614842.571630,0.330388302
1711614842.620214,0.330388302
1711614842.670485,0.329368835
1711614842.723295,0.329368835
1711614842.769030,0.326309188
1711614842.819256,0.326309188
1711614842.869200,0.332427236
