__time,/br5/correction_depth/data,/br5/depth_wrt_startup/data
1711615277.373512,1345.238000000,
1711615277.374249,,0.000000000
1711615277.424093,,-0.004079114
1711615277.424148,1344.269112572,
1711615277.473053,1344.269112572,
1711615277.473402,,-0.004079114
1711615277.522158,1344.511408345,
1711615277.522560,,-0.003059024
1711615277.573405,,-0.003059024
1711615277.573929,1344.511408345,
1711615277.624795,1343.784816690,
1711615277.624827,,-0.006118048
1711615277.670570,1343.784816690,
1711615277.670595,,-0.006118048
1711615277.722419,1344.511408345,
1711615277.722457,,-0.003059024
1711615277.772371,,-0.003059024
1711615277.774763,1344.511408345,
1711615277.821158,,-0.003059024
1711615277.821218,1344.511408345,
1711615277.870384,,-0.003059024
1711615277.870415,1344.511408345,
1711615277.924917,,0.012236719
1711615277.924953,1348.144514452,
1711615277.974340,,0.012236719
1711615277.974386,1348.144514452,
1711615278.022644,,0.024473438
1711615278.022669,1351.051028903,
1711615278.071605,1351.051028903,
1711615278.071644,,0.024473438
1711615278.122550,1355.168430892,
1711615278.122697,,0.041808116
1711615278.172074,1355.168430892,
1711615278.172136,,0.041808116
1711615278.223940,,0.063222530
1711615278.223979,1360.254868140,
1711615278.271872,,0.063222530
1711615278.273184,1360.254868140,
1711615278.321916,,0.082596764
1711615278.321965,1364.856713843,
1711615278.371739,1364.856713843,
1711615278.371788,,0.082596764
1711615278.421058,,0.107070202
1711615278.421085,1370.669742746,
1711615278.472849,1370.669742746,
1711615278.472878,,0.107070202
1711615278.522542,1375.513884221,
1711615278.522597,,0.127464527
1711615278.572940,,0.127464527
1711615278.572961,1375.513884221,
1711615278.624692,,0.158056013
1711615278.624715,1382.780096435,
1711615278.674290,1382.780096435,
1711615278.674344,,0.158056013
1711615278.722769,1388.593125338,
1711615278.722792,,0.182529451
1711615278.774822,,0.182529451
1711615278.774849,1388.593125338,
1711615278.824764,,0.211081381
1711615278.824810,1395.374893837,
1711615278.875466,,0.211081381
1711615278.886531,1395.374893837,
1711615278.924281,1399.976739540,
1711615278.924338,,0.230455615
1711615278.973264,1399.976739540,
1711615278.973761,,0.230455615
1711615279.024068,,0.260027634
1711615279.024090,1407.000803812,
1711615279.075185,1407.000803812,
1711615279.075236,,0.260027634
1711615279.124056,1413.782572311,
1711615279.124076,,0.288579564
1711615279.174701,1413.782572311,
1711615279.174762,,0.288579564
1711615279.220402,,0.309993978
1711615279.222055,1418.869009559,
1711615279.273300,,0.309993978
1711615279.273333,1418.869009559,
1711615279.324924,,0.333447326
1711615279.324949,1424.439742690,
1711615279.373648,1424.439742690,
1711615279.374639,,0.333447326
1711615279.423035,,0.352821561
1711615279.423924,1429.041588392,
1711615279.474013,,0.352821561
1711615279.474049,1429.041588392,
1711615279.521583,,0.369136771
1711615279.521645,1432.916842440,
1711615279.576460,1432.916842440,
1711615279.576506,,0.369136771
1711615279.622523,1438.003427520,
1711615279.622546,,0.390551807
1711615279.680173,,0.406867018
1711615279.680247,1441.878681567,
1711615279.722995,,0.406867018
1711615279.723947,1441.878681567,
1711615279.772462,1441.878681567,
1711615279.772481,,0.406867018
1711615279.824792,1446.964970984,
1711615279.824816,,0.428280809
1711615279.870963,,0.428280809
1711615279.871019,1446.964970984,
1711615279.924637,,0.441537618
1711615279.927467,1450.113781208,
1711615279.969759,1450.113781208,
1711615279.969831,,0.441537618
1711615280.022400,1453.746887315,
1711615280.022483,,0.456833361
1711615280.074382,,0.456833361
1711615280.074434,1453.746887315,
1711615280.122770,,0.473148572
1711615280.122796,1457.622141363,
1711615280.169481,1457.622141363,
1711615280.169505,,0.473148572
1711615280.223173,1460.528507983,
1711615280.223216,,0.485384668
1711615280.268093,,0.485384668
1711615280.269546,1460.528507983,
1711615280.327140,,0.491502717
1711615280.328004,1461.981691293,
1711615280.372597,,0.491502717
1711615280.372625,1461.981691293,
1711615280.422064,,0.500680412
1711615280.422118,1536.133360677,
1711615280.468511,1536.133360677,
1711615280.468564,,0.500680412
1711615280.524935,1537.532557706,
1711615280.524961,,0.507819172
1711615280.569983,1537.532557706,
1711615280.570012,,0.507819172
1711615280.624168,,0.514956688
1711615280.624187,1538.931510761,
1711615280.673477,,0.514956688
1711615280.673527,1538.931510761,
1711615280.723821,,0.519035801
1711615280.723881,1539.731017067,
1711615280.770039,,0.519035801
1711615280.770062,1539.731017067,
1711615280.825487,1540.930154538,
1711615280.825511,,0.525153850
1711615280.870153,1540.930154538,
1711615280.870183,,0.525153850
1711615280.925572,,0.527192784
1711615280.925629,1541.329785703,
1711615280.969553,,0.527192784
1711615280.969634,1541.329785703,
1711615281.022484,1541.329785703,
1711615281.022542,,0.527192784
1711615281.074062,1541.329785703,
1711615281.074107,,0.527192784
1711615281.122000,1542.529167150,
1711615281.122109,,0.533312077
1711615281.168860,,0.533312077
1711615281.168922,1542.529167150,
1711615281.220666,,0.533312077
1711615281.221843,1542.529167150,
1711615281.272222,,0.533312077
1711615281.272268,1542.529167150,
1711615281.318300,,0.531271898
1711615281.319663,1542.129292009,
1711615281.372796,1542.129292009,
1711615281.373477,,0.531271898
1711615281.422651,1541.529845261,
1711615281.423791,,0.528213496
